ticker,origin,monthly_reference_id,weekly_reference_id,monthly_grade,weekly_grade,monthly_formation_date,weekly_formation_date,event_date,entry_date,r5,mfe5,mae5,r10,mfe10,mae10,master_grade,signal_id,year,sample,is_exact_confluence
WULF,monthly_only,A+047,,A+,,2026-03-31,,2026-04-02,2026-04-06,0.2630523004840184,0.3527442872896082,-0.0026773736932061,0.3815261023667915,0.4042838106758544,-0.0026773736932061,A+,MT-220,2026,2023-2026,False
AMPX,monthly_only,A+048,,A+,,2026-03-31,,2026-04-06,2026-04-07,0.056289462999737,0.0620333103487413,-0.0947730978168581,0.1263642034589946,0.1596783866174898,-0.0947730978168581,A+,MT-221,2026,2023-2026,False
NKTR,weekly_incremental,,W-NKTR-20260409,,A+,,2026-04-02,2026-04-09,2026-04-10,0.0718478459617857,0.0800152704725492,-0.0236089645190317,0.164624826766206,0.391015813565484,-0.0236089645190317,A+,MT-223,2026,2023-2026,False
VSAT,weekly_incremental,,W-VSAT-20260410,,A+,,2026-04-02,2026-04-10,2026-04-13,0.1237260527657269,0.1525120459995332,-0.014661178086,0.1083497468304184,0.1618094582938938,-0.014661178086,A+,MT-224,2026,2023-2026,False
TNGX,monthly_only,A+049,,A+,,2026-04-30,,2026-05-04,2026-05-05,0.0257754551472249,0.0736129933691924,-0.0231541631030608,-0.0987330838420152,0.1253823030039615,-0.1550022031585494,A+,MT-226,2026,2023-2026,False
ABVX,weekly_incremental,,W-ABVX-20260609,,A+,,2026-06-05,2026-06-09,2026-06-10,-0.0430856749037771,0.020021601018231,-0.060751815472433,-0.0920600383708601,0.020021601018231,-0.2659730948715103,A+,MT-230,2026,2023-2026,False
ONDS,weekly_incremental,,W-ONDS-20260728,,A+,,2026-07-24,2026-07-28,2026-07-29,0.1388174058796716,0.1683804508292952,-0.1298200773321979,0.2519279573847333,0.2532133338130307,-0.1298200773321979,A+,MT-231,2026,2023-2026,False
VNDA,weekly_incremental,,W-VNDA-20190110,,A,,2019-01-04,2019-01-10,2019-01-11,0.0746164353862381,0.0829846281534762,-0.0230125467360263,0.039051566247112,0.0913528209207146,-0.0230125467360263,A,MT-001,2019,2019-2022,False
AXON,weekly_incremental,,W-AXON-20190130,,A,,2019-01-25,2019-01-30,2019-01-31,0.0501712232557098,0.0844247136113975,0.0,0.0820068427812101,0.0888575408523477,0.0,A,MT-003,2019,2019-2022,False
ARWR,monthly_only,A001,,A,,2019-01-31,,2019-02-04,2019-02-05,0.1766342101278752,0.1821974871146199,-0.115438096954191,0.2607787911322614,0.2702364813848146,-0.115438096954191,A,MT-004,2019,2019-2022,False
TCMD,monthly_only,A002,,A,,2019-01-31,,2019-02-04,2019-02-05,0.013772929544414,0.0302564460279304,-0.0186080094222184,0.0858608148036859,0.1056410122267055,-0.0186080094222184,A,MT-005,2019,2019-2022,False
NTRA,monthly_only,A003,,A,,2019-03-29,,2019-04-02,2019-04-03,-0.0530303406594965,0.0170453924572853,-0.0591856037087814,-0.0232008361266988,0.0170453924572853,-0.0591856037087814,A,MT-007,2019,2019-2022,False
TBCH,monthly_only,A004,,A,,2019-03-29,,2019-04-05,2019-04-08,0.0234899103338133,0.0612415719432857,-0.0276845571806954,-0.0729865671133093,0.0612415719432857,-0.1115771740934051,A,MT-008,2019,2019-2022,False
FRPT,weekly_incremental,,W-FRPT-20190409,,A,,2019-04-05,2019-04-09,2019-04-10,0.0216151990592468,0.0225653396050222,-0.0187647774219203,0.0244656206965729,0.0353919651418208,-0.0187647774219203,A,MT-009,2019,2019-2022,False
MDB,weekly_incremental,,W-MDB-20190430,,A,,2019-04-26,2019-04-30,2019-05-01,-0.0566251420521127,0.0015500717901839,-0.086919584409682,-0.0562004707673439,0.0015500717901839,-0.1000849342569537,A,MT-010,2019,2019-2022,False
VKTX,monthly_only,A005,,A,,2019-04-30,,2019-05-02,2019-05-03,0.0732919426842935,0.1080745173845345,-0.0062112036708286,0.0534160672438706,0.1080745173845345,-0.0248447554488862,A,MT-012,2019,2019-2022,False
SBGI,monthly_only,A006,,A,,2019-05-31,,2019-06-04,2019-06-05,-0.0687956836942432,0.0198905140102763,-0.0835766603903594,-0.0315693969590145,0.0198905140102763,-0.0835766603903594,A,MT-015,2019,2019-2022,False
ROKU,weekly_incremental,,W-ROKU-20190618,,A,,2019-06-14,2019-06-18,2019-06-19,-0.1039684801244631,0.0408378976886973,-0.1110790582539864,-0.10589023422102,0.0408378976886973,-0.160757215393416,A,MT-018,2019,2019-2022,False
TTD,monthly_only,A008,,A,,2019-06-28,,2019-07-02,2019-07-03,0.0218514379639145,0.0565234075335998,-0.0233878341258706,0.0421236619010221,0.0655968875482395,-0.0233878341258706,A,MT-020,2019,2019-2022,False
AU,weekly_incremental,,W-AU-20190709,,A,,2019-07-05,2019-07-09,2019-07-10,-0.028914580030908,0.005455558204362,-0.0354611653207849,0.0180030068550485,0.0709216901785234,-0.0354611653207849,A,MT-022,2019,2019-2022,False
VCYT,weekly_incremental,,W-VCYT-20190820,,A,,2019-08-16,2019-08-20,2019-08-21,-0.0076539939538579,0.0135859724832283,-0.0662074090241022,-0.0290852792170892,0.059318836364008,-0.0662074090241022,A,MT-023,2019,2019-2022,False
AGI,exact_confluence,A009,W-AGI-20190904,A,A,2019-08-30,2019-08-30,2019-09-04,2019-09-05,-0.0938374965839993,0.0014005923065596,-0.1120446618513549,-0.1246721953334691,0.0014005923065596,-0.144310942173116,A,MT-024,2019,2019-2022,True
AU,monthly_only,A010,,A,,2019-08-30,,2019-09-04,2019-09-05,-0.1124942706348525,0.0026678286595376,-0.1240548985080999,-0.1507335771550827,0.0026678286595376,-0.1751889433929893,A,MT-025,2019,2019-2022,False
MDB,monthly_only,A011,,A,,2019-09-30,,2019-10-02,2019-10-03,0.1032401844701527,0.1476276449444604,-0.015870439288013,0.0040502384705995,0.159894207581958,-0.015870439288013,A,MT-026,2019,2019-2022,False
